ticker,sector,composite_z,composite_rank,composite_pct,ai_score,ai_rated_at,value_quality_score,value_rank,growth_score,growth_rank,exclusion_reason
VSTM,Health Care,-1.0801,2416,2.07,48.0,2026-08-10T22:40:33.002602+00:00,,,5.6968,7,
VSTS,Industrials,0.6028,156,93.71,,,,,,,
VSXY,Consumer Discretionary,0.9099,49,98.05,,,,,,,
VTOL,Industrials,-0.0897,1583,35.85,,,,,,,
VTR,Real Estate,-0.0607,1506,38.97,,,,,,,
VTRS,Health Care,0.3661,397,83.94,,,,,,,
VTS,Energy,0.0035,1312,46.84,,,,,,,
VTVT,Health Care,,,,31.0,2026-08-11T22:37:53.260382+00:00,,,6.7603,3,
VVV,Energy,-0.0646,1517,38.52,,,,,,,
VVX,Industrials,0.0647,1135,54.01,,,,,,,
VYX,Information Technology,-0.1576,1748,29.16,,,,,,,
VZ,Communication Services,-0.1204,1664,32.56,,,,,,,
W,Consumer Discretionary,0.7156,100,95.99,,,,,,,
WAB,Industrials,0.3453,430,82.6,,,,,,,
WABC,Financials,0.0935,1052,57.38,,,,,,,
WAFD,Financials,0.0473,1178,52.27,,,,,,,
WAL,Financials,0.0392,1209,51.01,,,,,,,
WASH,Financials,0.3313,461,81.35,,,,,,,
WAT,Health Care,-1.3267,2442,1.01,,,,,,,
WAY,Information Technology,-0.3273,2026,17.88,,,,,,,
WBD,Communication Services,0.0817,1087,55.96,,,,,,,
WBI,Energy,,,,,,,,,,new_issue
